?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/CLO_0000684>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human buttock-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0006787>	<http://www.w3.org/2000/01/rdf-schema#label>	"IMG-1366 cell"	
<http://purl.obolibrary.org/obo/CLO_0000399>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human amniotic fluid-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0008315>	<http://www.w3.org/2000/01/rdf-schema#label>	"P3 88 D1 cell"	
<http://purl.obolibrary.org/obo/CLO_0005530>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF055/90 cell"	
<http://purl.obolibrary.org/obo/CLO_0008139>	<http://www.w3.org/2000/01/rdf-schema#label>	"NCTC clone 3526 cell"	
<http://purl.obolibrary.org/obo/CLO_0000714>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal rhesus macaque kidney-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0005354>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF046/83 cell"	
<http://purl.obolibrary.org/obo/CLO_0000351>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal connective tissue-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0005178>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF038/87 cell"	
<http://purl.obolibrary.org/obo/CLO_0002393>	<http://www.w3.org/2000/01/rdf-schema#label>	"CF96F cell"	
<http://purl.obolibrary.org/obo/CLO_0006838>	<http://www.w3.org/2000/01/rdf-schema#label>	"IMG-691 cell"	
<http://purl.obolibrary.org/obo/CLO_0003877>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hs 201.Sk cell"	
<http://purl.obolibrary.org/obo/CLO_0005405>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF048/99 cell"	
<http://purl.obolibrary.org/obo/CLO_0002620>	<http://www.w3.org/2000/01/rdf-schema#label>	"CS191 cell"	
<http://purl.obolibrary.org/obo/CLO_0005229>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF040/94 cell"	
<http://purl.obolibrary.org/obo/CLO_0002444>	<http://www.w3.org/2000/01/rdf-schema#label>	"CHO302PV cell"	
<http://purl.obolibrary.org/obo/CLO_0000527>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal Chinese hamster female gonad-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0002268>	<http://www.w3.org/2000/01/rdf-schema#label>	"CCD-1090Sk cell"	
<http://purl.obolibrary.org/obo/CLO_0001011>	<http://www.w3.org/2000/01/rdf-schema#label>	"1306 cell"	
<http://purl.obolibrary.org/obo/CLO_0003928>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hs 344.T cell"	
<http://purl.obolibrary.org/obo/CLO_0000967>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal European rabbit, rabbit skin-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000197>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal skin-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000260>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal supra-orbital vein-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0050081>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB1879 cell"	
<http://purl.obolibrary.org/obo/CLO_0000020>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000084>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal peripheral neuron cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000081>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal neuron cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0002319>	<http://www.w3.org/2000/01/rdf-schema#label>	"CCD-34Lu cell"	
<http://purl.obolibrary.org/obo/CLO_0051565>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB1591 cell"	
<http://purl.obolibrary.org/obo/CLO_0000876>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human eye-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0051389>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB2863 cell"	
<http://purl.obolibrary.org/obo/CLO_0000670>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal rat brain-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000311>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal soft palate-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0050132>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB2217 cell"	
<http://purl.obolibrary.org/obo/CLO_0000135>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal squamous epithelial cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000129>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal epithelial cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0007472>	<http://www.w3.org/2000/01/rdf-schema#label>	"M-24 (M138) cell"	
<http://purl.obolibrary.org/obo/CLO_0009000>	<http://www.w3.org/2000/01/rdf-schema#label>	"SGS cell"	
<http://purl.obolibrary.org/obo/CLO_0051616>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB2942 cell"	
<http://purl.obolibrary.org/obo/CLO_0009822>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal medaka cell line cell"@en	
<http://purl.obolibrary.org/obo/CLO_0007296>	<http://www.w3.org/2000/01/rdf-schema#label>	"LDR8 cell"	
<http://purl.obolibrary.org/obo/CLO_0008956>	<http://www.w3.org/2000/01/rdf-schema#label>	"SC-1 cell"	
<http://purl.obolibrary.org/obo/CLO_0000516>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal pig-tailed macaque lung-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0005995>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF086/90 cell"	
<http://purl.obolibrary.org/obo/CLO_0050007>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB1861 cell"	
<http://purl.obolibrary.org/obo/CLO_0007523>	<http://www.w3.org/2000/01/rdf-schema#label>	"MAb104 cell"	
<http://purl.obolibrary.org/obo/CLO_0007347>	<http://www.w3.org/2000/01/rdf-schema#label>	"LM 6 cell"	
<http://purl.obolibrary.org/obo/CLO_0004562>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF009/92 cell"	
<http://purl.obolibrary.org/obo/CLO_0004386>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF001/00 cell"	
<http://purl.obolibrary.org/obo/CLO_0004613>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF012/01 cell"	
<http://purl.obolibrary.org/obo/CLO_0000406>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal Kenya baboon skin-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0004437>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF003/85 cell"	
<http://purl.obolibrary.org/obo/CLO_0001652>	<http://www.w3.org/2000/01/rdf-schema#label>	"AC95 cell"	
<http://purl.obolibrary.org/obo/CLO_0001476>	<http://www.w3.org/2000/01/rdf-schema#label>	"74-22-15A cell"	
<http://purl.obolibrary.org/obo/CLO_0003004>	<http://www.w3.org/2000/01/rdf-schema#label>	"FB3.Ln cell"	
<http://purl.obolibrary.org/obo/CLO_0000459>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal cattle fetal membrane-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0001703>	<http://www.w3.org/2000/01/rdf-schema#label>	"Al Ke cell"	
<http://purl.obolibrary.org/obo/CLO_0009590>	<http://www.w3.org/2000/01/rdf-schema#label>	"WI 1003 cell"	
<http://purl.obolibrary.org/obo/CLO_0037296>	<http://www.w3.org/2000/01/rdf-schema#label>	"human ovarian cancer cell line cell"@en	
<http://purl.obolibrary.org/obo/CLO_0001527>	<http://www.w3.org/2000/01/rdf-schema#label>	"9.4 cell"	
<http://purl.obolibrary.org/obo/CLO_0050773>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB2852 cell"	
<http://purl.obolibrary.org/obo/CLO_0000542>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal mouse spleen-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0050597>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB1582 cell"	
<http://purl.obolibrary.org/obo/CLO_0037523>	<http://www.w3.org/2000/01/rdf-schema#label>	"CS30iALS-C9n1 cell"	
<http://purl.obolibrary.org/obo/CLO_0037320>	<http://www.w3.org/2000/01/rdf-schema#label>	"human fibroblast-induced pluripotent stem cell line cell"@en	
<http://purl.obolibrary.org/obo/CLO_0009641>	<http://www.w3.org/2000/01/rdf-schema#label>	"X16C8.5 cell"	
<http://purl.obolibrary.org/obo/CLO_0037347>	<http://www.w3.org/2000/01/rdf-schema#label>	"BG1-Luc-4E2"	
<http://purl.obolibrary.org/obo/CLO_0037345>	<http://www.w3.org/2000/01/rdf-schema#label>	"BG1"	
<http://purl.obolibrary.org/obo/CLO_0009465>	<http://www.w3.org/2000/01/rdf-schema#label>	"U-937 cell"	
<http://purl.obolibrary.org/obo/CLO_0000936>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human monocyte cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0006680>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGV005/94 cell"	
<http://purl.obolibrary.org/obo/CLO_0000528>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal human chorion-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000394>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal chimpanzee peripheral vein-derived B cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0050824>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB1831 cell"	
<http://purl.obolibrary.org/obo/CLO_0009289>	<http://www.w3.org/2000/01/rdf-schema#label>	"TE 125.T cell"	
<http://purl.obolibrary.org/obo/CLO_0008032>	<http://www.w3.org/2000/01/rdf-schema#label>	"NCI-H1944 cell"	
<http://purl.obolibrary.org/obo/CLO_0050648>	<http://www.w3.org/2000/01/rdf-schema#label>	"RCB0391 cell"	
<http://purl.obolibrary.org/obo/CLO_0000520>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal mouse skin-derived cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0000421>	<http://www.w3.org/2000/01/rdf-schema#label>	"immortal Colobus guereza skin-derived fibroblast cell line cell"	
<http://purl.obolibrary.org/obo/CLO_0005071>	<http://www.w3.org/2000/01/rdf-schema#label>	"IGF033/88 cell"	
<http://purl.obolibrary.org/obo/CLO_0007988>	<http://www.w3.org/2000/01/rdf-schema#label>	"NCI-H1341 cell"	
